Section;Course_Code;Course_Name;Number_of_Students;Course_Environment;T+U;AKTS ;Class;Depertmant;Lecturer;Department
1;CE101;INTRODUCTION TO CIVIL ENGINEERING;100;classroom;2+0;2;1;İNŞAAT MÜH.(İNG);Dr. Öğr. Üyesi ****** ********;CE
1;CE103;TECHNICAL DRAWING FOR CIVIL ENGINEERING;108;classroom;1+2;5;1;İNŞAAT MÜH.(İNG);Dr. Öğr. Üyesi //////// ////////;CE
